省,市,县,县代码,GDP_2020_SSP5,GDP_2025_SSP5,GDP_2030_SSP5,GDP_2035_SSP5,GDP_2040_SSP5,GDP_2045_SSP5,GDP_2050_SSP5
安徽省,黄山市,祁门县,341024.0,358024960.0,519621376.0,723502976.0,969481984.0,1196606208.0,1397688576.0,1562057216.0
安徽省,黄山市,歙县,341021.0,989730432.0,1668979456.0,2395069952.0,3309595648.0,4212209664.0,5076731904.0,5867349504.0
安徽省,黄山市,屯溪区,341002.0,3636275968.0,3530885888.0,5015753728.0,6861869056.0,8650567680.0,10331880448.0,11823722496.0
安徽省,黄山市,休宁县,341022.0,699721792.0,544193600.0,761364160.0,1026179456.0,1275883904.0,1502819328.0,1694208768.0
安徽省,黄山市,黟县,341023.0,143510256.0,221766896.0,307056928.0,409441536.0,503967680.0,587052864.0,654155392.0
安徽省,六安市,霍邱县,341522.0,3883412992.0,7134732800.0,9906569216.0,13242847232.0,16320034816.0,19054964736.0,21263091712.0
安徽省,六安市,霍山县,341525.0,1187137152.0,1769944320.0,2455918080.0,3280861440.0,4041640448.0,4717287936.0,5261464064.0
安徽省,六安市,金安区,341502.0,12309276672.0,8018656256.0,11127118848.0,14865366016.0,18313195520.0,21375836160.0,23842301952.0
安徽省,六安市,金寨县,341524.0,1586563200.0,2929216768.0,4064890624.0,5430687232.0,6689855488.0,7807650816.0,8707862528.0
安徽省,六安市,舒城县,341523.0,5515317760.0,5046144512.0,7002416640.0,9355155456.0,11525030912.0,13452568576.0,15005016064.0
安徽省,六安市,叶集区,341504.0,1227965568.0,625594816.0,869192064.0,1162516992.0,1433199104.0,1673721856.0,1868663296.0
安徽省,六安市,裕安区,341503.0,11796294656.0,8938945536.0,12404118528.0,16571340800.0,20414795776.0,23828848640.0,26578268160.0
安徽省,马鞍山市,博望区,340506.0,824959872.0,703107456.0,993168128.0,1351335424.0,1693381248.0,2009693696.0,2286807040.0
安徽省,马鞍山市,当涂县,340521.0,3035470336.0,5512285184.0,7714050048.0,10396827648.0,12914011136.0,15196643328.0,17117604864.0
安徽省,马鞍山市,含山县,340522.0,2467184896.0,3313585152.0,4597963776.0,6142555136.0,7567127040.0,8832468992.0,9851513856.0
安徽省,马鞍山市,和县,340523.0,3784608768.0,3498265600.0,4882521088.0,6562357248.0,8130518528.0,9543723008.0,10717789184.0
安徽省,马鞍山市,花山区,340503.0,16543045632.0,21676267520.0,30530674688.0,41418891264.0,51762679808.0,61273014272.0,69510111232.0
安徽省,马鞍山市,雨山区,340504.0,18853875712.0,13674184704.0,19235375104.0,26062114816.0,32532455424.0,38466007040.0,43577421824.0
安徽省,宿州市,砀山县,341321.0,4855512576.0,3579237632.0,5027070976.0,6792991744.0,8440539136.0,9922435072.0,11187705856.0
安徽省,宿州市,灵璧县,341323.0,4919255040.0,3325909248.0,4669340672.0,6313888768.0,7866904064.0,9285173248.0,10496523264.0
安徽省,宿州市,泗县,341324.0,4152268800.0,3419744512.0,4830483456.0,6572407808.0,8235922432.0,9774377984.0,11122067456.0
安徽省,宿州市,萧县,341322.0,6414488576.0,4095848704.0,5729233408.0,7717499904.0,9580489728.0,11266418688.0,12682158080.0
安徽省,宿州市,埇桥区,341302.0,25650626560.0,15339473920.0,21301577728.0,28480329728.0,35111641088.0,41012707328.0,45784465408.0
安徽省,铜陵市,枞阳县,340722.0,1588006144.0,1246152960.0,1729277696.0,2310146048.0,2845686784.0,3321181184.0,3704618496.0
安徽省,铜陵市,郊区,340711.0,2015668224.0,770887168.0,1070744320.0,1431572352.0,1764439552.0,2060265728.0,2299814912.0
安徽省,铜陵市,铜官区,340705.0,10541275136.0,12241765376.0,16987323392.0,22694387712.0,27958085632.0,32633774080.0,36399292416.0
